question,source_type,has_numeric,has_category,has_datetime,has_text,intent,answer_depth,operation,best_chart,chart_required,needs_numeric,needs_category,needs_datetime,needs_text
Compare amount across sales persons,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Which gender has the highest age?,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top departments by age,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show correlation between numeric columns,csv,true,true,true,false,correlation,visual_answer,correlation_heatmap,heatmap,true,true,false,false,false
Top 10 ad groups by impressions,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare cart value by category,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the minimum conversion rate?,csv,true,true,true,false,aggregation,direct_answer,min,kpi_card,false,true,false,false,false
What is the average request count?,json,true,true,true,true,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Show histogram of amount,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show distribution of revenue,csv,true,true,true,false,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Show spread of error count,json,true,true,true,true,distribution,visual_answer,distribution,histogram,true,true,false,false,false
Group humidity by machine,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Group income by account,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show top diagnosiss by patient count,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show top schools by attendance,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
What is the total request count?,json,true,true,true,true,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Compare amount by customer,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Show correlation between sales and revenue,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
Rank countrys by total orders,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Which user type performed best?,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Top 10 regions by review score,json,true,true,true,true,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show total quantity,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Forecast future amount,csv,true,true,true,false,forecasting,deep_analysis,forecast,line_chart,true,true,false,true,false
Compare sensor value across locations,parquet,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
What is the average pressure?,parquet,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Why did pressure drop?,parquet,true,true,true,false,diagnostic_analysis,deep_analysis,diagnostic_analysis,multi_chart_dashboard,true,true,true,true,false
Break down sentiment score by category,json,true,true,true,true,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Calculate average conversion rate,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
Find duplicate rows,excel,true,true,true,false,data_quality,data_quality_answer,duplicate_check,table,false,false,false,false,false
Top 10 audiences by impressions,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Break down age by doctor,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Are there missing values?,excel,true,true,true,false,data_quality,data_quality_answer,null_check,table,false,false,false,false,false
List all columns,csv,true,true,true,false,schema_question,direct_answer,list_columns,table,false,false,false,false,false
Top 10 schools by pass rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
How has discount changed over time?,csv,true,true,true,false,trend_analysis,visual_answer,time_groupby_sum,line_chart,true,true,false,true,false
Show top schools by pass rate,csv,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Show correlation between clicks and impressions,csv,true,true,true,false,correlation,visual_answer,correlation,scatter_plot,true,true,false,false,false
What is the average length of stay?,csv,true,true,true,false,aggregation,direct_answer,mean,kpi_card,false,true,false,false,false
What is the overall score?,csv,true,true,true,false,aggregation,direct_answer,sum,kpi_card,false,true,false,false,false
Which department has the highest loss?,parquet,true,true,true,false,ranking,small_summary,groupby_sum_sort_desc,horizontal_bar_chart,true,true,true,false,false
Compare attendance by subject,csv,true,true,true,false,comparison,visual_answer,groupby_sum,bar_chart,true,true,true,false,false
Are there invalid values?,json,true,true,true,true,data_quality,data_quality_answer,data_quality_summary,table,false,false,false,false,false
What is the row count?,csv,true,true,true,false,schema_question,direct_answer,count_rows,kpi_card,false,false,false,false,false
